## S99 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 37 (+ 0 in workshops/)
## Total edges (deduped): 40
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:99:session-99-litrev-x-c10-vacuum-profile-mack.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-litrev-x-c10-vacuum-profile-mack.md | match='**Agent**: mack-cosmic-bridge (Katie Mack — Cosmic Bridge)'
[EDGE:authored_by] gates:99:session-99-litrev-x-c10-vacuum-profile-volovik.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-litrev-x-c10-vacuum-profile-volovik.md | match='**Agent**: volovik-superfluid-universe-theorist (volovik)'
[EDGE:authored_by] gates:99:session-99-litreview-consolidated-gen-physicist.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-litreview-consolidated-gen-physicist.md | match='**Agent**: gen-physicist (Workhorse-Gen-Physicist)'
[EDGE:authored_by] gates:99:session-99-lizzi-synthesis.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-lizzi-synthesis.md | match='**Agent**: lizzi-spectral-functional-theorist (Lizzi)'
[EDGE:authored_by] data_provenance:99:session-99-lizzi-synthesis.md -> researchers:lizzi-spectral-functional-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-99/session-99-lizzi-synthesis.md | match='session-99-lizzi-synthesis.md'
[EDGE:authored_by] gates:99:session-99-mack-synthesis.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-mack-synthesis.md | match='**Agent**: mack-cosmic-bridge (Katie Mack — Cosmic Bridge)'
[EDGE:authored_by] data_provenance:99:session-99-mack-synthesis.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-99/session-99-mack-synthesis.md | match='session-99-mack-synthesis.md'
[EDGE:authored_by] gates:99:session-99-phonon-first-synthesis.md -> researchers:phonon-first-cosmologist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-phonon-first-synthesis.md | match='**Agent**: phonon-first-cosmologist (Phonon-First)'
[EDGE:authored_by] data_provenance:99:session-99-phonon-first-synthesis.md -> researchers:phonon-first-cosmologist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-99/session-99-phonon-first-synthesis.md | match='session-99-phonon-first-synthesis.md'
[EDGE:authored_by] gates:99:session-99-quantum-foam-synthesis.md -> researchers:quantum-foam-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-quantum-foam-synthesis.md | match='**Agent**: quantum-foam-theorist (Workhorse-Quantum-Foam)'
[EDGE:authored_by] data_provenance:99:session-99-quantum-foam-synthesis.md -> researchers:quantum-foam-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-99/session-99-quantum-foam-synthesis.md | match='session-99-quantum-foam-synthesis.md'
[EDGE:authored_by] gates:99:session-99-volovik-synthesis.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-volovik-synthesis.md | match='**Agent**: volovik-superfluid-universe-theorist (volovik)'
[EDGE:authored_by] data_provenance:99:session-99-volovik-synthesis.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-99/session-99-volovik-synthesis.md | match='session-99-volovik-synthesis.md'
[EDGE:authored_by] gates:99:session-99-w1-workingpaper.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-w1-workingpaper.md | match='**Agent**: `transit-dynamics-theorist`'
[EDGE:authored_by] gates:99:session-99-w2-workingpaper.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-w2-workingpaper.md | match='**Agent**: `transit-dynamics-theorist`'
[EDGE:authored_by] gates:99:session-99-w2-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-w2-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
[EDGE:authored_by] gates:99:session-99-w3-workingpaper.md -> researchers:neutrino-detection-specialist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-w3-workingpaper.md | match='**Agent**: `neutrino-detection-specialist` (executor; cross-axis support `connes'
[EDGE:authored_by] gates:99:session-99-w4-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-w4-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist`'
[EDGE:authored_by] gates:99:session-99-w4-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-w4-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
