## S81 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 1
## Verdict files scanned: 2
## Plan files scanned: 0
## Session .md files scanned (cited_in scope): 1
## Total edges (deduped): 1578
## Edge types: anchored_in
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:T3-BATCH-S22A-DELTA-T-PROFILE -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S22A-DELTA-T-PROFILE: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S22A-DNP-BOUND -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S22A-DNP-BOUND: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S22A-EUCLIDEAN-ACTION -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S22A-EUCLIDEAN-ACTION: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S22A-FANO -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S22A-FANO: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S22A-IMPEDANCE -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S22A-IMPEDANCE: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S22A-LEVEL-STATS -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S22A-LEVEL-STATS: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S22A-PAASCH-CURVE -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S22A-PAASCH-CURVE: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S22A-PAASCH-CURVE-T3 -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S22A-PAASCH-CURVE-T3: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S22A-SLOW-ROLL -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S22A-SLOW-ROLL: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S22A-WEYL-CURVATURE -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S22A-WEYL-CURVATURE: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S22B-BLOCK-DIAGONAL-RESULTS -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S22B-BLOCK-DIAGONAL-RESULTS: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S22B-EIGENVECTOR-EXTRACTION -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S22B-EIGENVECTOR-EXTRACTION: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S22B-KOSMANN-MATRIX -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S22B-KOSMANN-MATRIX: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S22C-BCS-CHANNEL-SCAN -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S22C-BCS-CHANNEL-SCAN: INFO'
