## S84 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 34 (+ 0 in workshops/)
## Total edges (deduped): 45
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:84:session-84-synthesis-collation.md -> researchers:orchestrator  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-synthesis-collation.md | match='**Author**: orchestrator (Claude Opus 4.7 [1M])'
[EDGE:authored_by] data_provenance:84:session-84-synthesis-collation.md -> researchers:orchestrator  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-synthesis-collation.md | match='**Author**: orchestrator (Claude Opus 4.7 [1M])'
[EDGE:authored_by] gates:84:session-84-tesla-phononic-engine-precursor.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-tesla-phononic-engine-precursor.md | match='**Agent**: tesla-resonance (Workhorse-Resonance)'
[EDGE:authored_by] gates:84:session-84-tesla-synthesis.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-tesla-synthesis.md | match='**Agent**: tesla-resonance (Workhorse-Resonance — electromagnetic resonance, pho'
[EDGE:authored_by] data_provenance:84:session-84-tesla-synthesis.md -> researchers:tesla-resonance  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-84/session-84-tesla-synthesis.md | match='session-84-tesla-synthesis.md'
[EDGE:authored_by] gates:84:session-84-transit-CCrevisit-synthesis.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-transit-CCrevisit-synthesis.md | match='**Agent**: transit-dynamics-theorist (Workhorse-Transit-Dynamics)'
[EDGE:authored_by] gates:84:session-84-transit-synthesis.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-transit-synthesis.md | match='**Agent**: transit-dynamics-theorist'
[EDGE:authored_by] gates:84:session-84-w1-workingpaper.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-w1-workingpaper.md | match='**Agent**: `transit-dynamics-theorist` (Workhorse-Transit-Dynamics).'
[EDGE:authored_by] gates:84:session-84-w1-workingpaper.md -> researchers:feynman-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-w1-workingpaper.md | match='**Agent**: `feynman-theorist` (Workhorse-Feynman).'
[EDGE:authored_by] gates:84:session-84-w1-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-w1-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist` (Workhorse-Superfluid). Second'
[EDGE:authored_by] gates:84:session-84-w1-workingpaper.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-w1-workingpaper.md | match='**Agent**: `landau-condensed-matter-theorist` (Workhorse-Landau).'
[EDGE:authored_by] gates:84:session-84-w1-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-w1-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (primary — mu_BC is derived coupling-ratio on s'
[EDGE:authored_by] gates:84:session-84-w1-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-w1-workingpaper.md | match='**Agent**: `mack-cosmic-bridge` (primary — observational detector-reach with CMB'
[EDGE:authored_by] gates:84:session-84-w1-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-w1-workingpaper.md | match='**Agent**: `gen-physicist` (primary — broad-competence theorem landing + cross-d'
[EDGE:authored_by] gates:84:session-84-w5-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-w5-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist`'
[EDGE:authored_by] gates:84:session-84-w5-workingpaper.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-w5-workingpaper.md | match='**Agent**: `landau-condensed-matter-theorist`'
[EDGE:authored_by] gates:84:session-84-w8-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-w8-workingpaper.md | match='**Agent**: connes-ncg-theorist (dispatched S84 post-W8a-85)'
[EDGE:authored_by] gates:84:session-84-w8-workingpaper.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-w8-workingpaper.md | match='**Agent**: baptista-spacetime-analyst (dispatched S84 post-W8a-85, post-connes-n'
[EDGE:authored_by] gates:84:session-84-w8-workingpaper.md -> researchers:spectral-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-w8-workingpaper.md | match='**Agent**: spectral-geometer (dispatched S84 post-W8a-85, parallel to connes-ncg'
[EDGE:authored_by] gates:84:session-84-w8-workingpaper.md -> researchers:orchestrator  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-w8-workingpaper.md | match='**Author**: orchestrator (Claude Opus 4.7 [1M])'
[EDGE:authored_by] data_provenance:84:session-84-w8-workingpaper.md -> researchers:orchestrator  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-w8-workingpaper.md | match='**Author**: orchestrator (Claude Opus 4.7 [1M])'
[EDGE:authored_by] gates:84:session-84-w9-workingpaper.md -> researchers:orchestrator  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-w9-workingpaper.md | match='**Author**: orchestrator (Claude Opus 4.7 [1M])'
[EDGE:authored_by] data_provenance:84:session-84-w9-workingpaper.md -> researchers:orchestrator  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-w9-workingpaper.md | match='**Author**: orchestrator (Claude Opus 4.7 [1M])'
