## S101 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 12 (+ 12 in workshops/)
## Total edges (deduped): 46
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:101:session-101-w7-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/session-101/session-101-w7-workingpaper.md | match='**Agent**: `gen-physicist` (procedural owner / PASS-AND aggregation closeout). R'
[EDGE:authored_by] gates:101:session-101-w8-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/session-101/session-101-w8-workingpaper.md | match='**Agent**: `gen-physicist`'
[EDGE:authored_by] gates:101:session-101-w8-workingpaper.md -> researchers:orchestrator  # G7 | role=primary | conf=header-parsed | src=sessions/session-101/session-101-w8-workingpaper.md | match='**Agent**: orchestrator (direct-write; gen-physicist authored the plan block, th'
[EDGE:authored_by] gates:101:session-101-w8-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-101/session-101-w8-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (not dispatched)'
[EDGE:authored_round] researchers:phonon-first-cosmologist -> data_provenance:sessions/session-101/workshops/s101-bf-spine-reference-class-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/session-101/workshops/s101-bf-spine-reference-class-workshop.md | match='## Round 1 — phonon-first'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/session-101/workshops/s101-bf-spine-reference-class-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/session-101/workshops/s101-bf-spine-reference-class-workshop.md | match='## Round 1 — mack'
[EDGE:authored_round] researchers:phonon-first-cosmologist -> data_provenance:sessions/session-101/workshops/s101-bf-spine-reference-class-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/session-101/workshops/s101-bf-spine-reference-class-workshop.md | match='## Round 2 — phonon-first'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/session-101/workshops/s101-bf-spine-reference-class-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/session-101/workshops/s101-bf-spine-reference-class-workshop.md | match='## Round 2 — mack'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/session-101/workshops/s101-normalization-non-universality-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/session-101/workshops/s101-normalization-non-universality-workshop.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:participates_in] researchers:phonon-first-cosmologist -> data_provenance:sessions/session-101/workshops/s101-normalization-non-universality-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/session-101/workshops/s101-normalization-non-universality-workshop.md | match='phonon-first (phonon-first-cosmologist)'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/session-101/workshops/s101-normalization-non-universality-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/session-101/workshops/s101-normalization-non-universality-workshop.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:phonon-first-cosmologist -> data_provenance:sessions/session-101/workshops/s101-normalization-non-universality-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/session-101/workshops/s101-normalization-non-universality-workshop.md | match='## Round 1 — phonon-first'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/session-101/workshops/s101-normalization-non-universality-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/session-101/workshops/s101-normalization-non-universality-workshop.md | match='## Round 2 — volovik'
[EDGE:authored_round] researchers:phonon-first-cosmologist -> data_provenance:sessions/session-101/workshops/s101-normalization-non-universality-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/session-101/workshops/s101-normalization-non-universality-workshop.md | match='## Round 2 — phonon-first'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/session-101/workshops/s101-normalization-non-universality-workshop.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/session-101/workshops/s101-normalization-non-universality-workshop.md | match='## Round 3 — volovik'
[EDGE:authored_round] researchers:phonon-first-cosmologist -> data_provenance:sessions/session-101/workshops/s101-normalization-non-universality-workshop.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/session-101/workshops/s101-normalization-non-universality-workshop.md | match='## Round 3 — phonon-first'
[EDGE:participates_in] researchers:transit-dynamics-theorist -> data_provenance:sessions/session-101/workshops/s101-x696-cross-pillar-coincidence-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/session-101/workshops/s101-x696-cross-pillar-coincidence-workshop.md | match='transit (transit-dynamics-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/session-101/workshops/s101-x696-cross-pillar-coincidence-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/session-101/workshops/s101-x696-cross-pillar-coincidence-workshop.md | match='connes (connes-ncg-theorist)'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/session-101/workshops/s101-x696-cross-pillar-coincidence-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/session-101/workshops/s101-x696-cross-pillar-coincidence-workshop.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/session-101/workshops/s101-x696-cross-pillar-coincidence-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/session-101/workshops/s101-x696-cross-pillar-coincidence-workshop.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/session-101/workshops/s101-x696-cross-pillar-coincidence-workshop.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/session-101/workshops/s101-x696-cross-pillar-coincidence-workshop.md | match='## Round 3 — connes'
