## Shared-file Chain-of-Custody Edges (non-session-keyed; emitted to data_provenance targets)
## Generated: 2026-06-13T17:43:18Z
## Shared files scanned: 224
## Total edges (deduped): 40
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:cited_in] researchers:string-theory-theorist -> data_provenance:sessions/framework/Collabs/string-theory-synthesis.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Collabs/string-theory-synthesis.md | match='researchers/String-Theory/'
[EDGE:cited_in] researchers:connes-ncg-theorist -> data_provenance:sessions/framework/Collabs/string-theory-synthesis.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Collabs/string-theory-synthesis.md | match='researchers/Connes/'
[EDGE:cited_in] researchers:baptista-spacetime-analyst -> data_provenance:sessions/framework/Collabs/string-theory-synthesis.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Collabs/string-theory-synthesis.md | match='researchers/Baptista/'
[EDGE:cited_in] researchers:quantum-foam-theorist -> data_provenance:sessions/framework/equation-collab/quantum-foam-synthesis.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/equation-collab/quantum-foam-synthesis.md | match='researchers/Quantum-Foam/'
[EDGE:cited_in] researchers:schwarzschild-penrose-geometer -> data_provenance:sessions/framework/equation-collab/sp-synthesis.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/equation-collab/sp-synthesis.md | match='researchers/Schwarzschild-Penrose/11_2025_Meissner_Penrose_Physics_of_CCC.md'
[EDGE:cited_in] researchers:tesla-resonance -> data_provenance:sessions/framework/equation-collab/sp-synthesis.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/equation-collab/sp-synthesis.md | match='researchers/Tesla-Resonance/15_2010_Penrose_CCC_Aeons.md'
[EDGE:cited_in] researchers:string-theory-theorist -> data_provenance:sessions/framework/equation-collab/string-theory-synthesis.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/equation-collab/string-theory-synthesis.md | match='researchers/String-Theory/'
[EDGE:cited_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/framework/equation-collab/volovik-synthesis.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/equation-collab/volovik-synthesis.md | match='researchers/Volovik/'
[EDGE:cited_in] researchers:cosmic-web-theorist -> data_provenance:sessions/framework/registry/falsifier-master-inventory.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/registry/falsifier-master-inventory.md | match='researchers/Cosmic-Web/'
[EDGE:cited_in] researchers:mack-cosmic-bridge -> data_provenance:sessions/framework/registry/falsifier-master-inventory.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/registry/falsifier-master-inventory.md | match='researchers/Mack/'
[EDGE:cited_in] researchers:paasch-mass-quantization-analyst -> data_provenance:sessions/framework/registry/falsifier-master-inventory.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/registry/falsifier-master-inventory.md | match='researchers/Paasch/'
[EDGE:cited_in] researchers:little-red-dots-jwst-analyst -> data_provenance:sessions/framework/registry/lrd-observational-constraints.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/registry/lrd-observational-constraints.md | match='researchers/Little-Red-Dots/'
[EDGE:cited_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/framework/registry/path-b-d2-workshop.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/registry/path-b-d2-workshop.md | match='researchers/Volovik/'
[EDGE:cited_in] researchers:phonon-first-cosmologist -> data_provenance:sessions/framework/Collabs/equation-build/connes-master-equation.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Collabs/equation-build/connes-master-equation.md | match='researchers/Phonon-First/'
[EDGE:cited_in] researchers:phonon-first-cosmologist -> data_provenance:sessions/framework/Collabs/equation-build/lizzi-spectral-functional.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Collabs/equation-build/lizzi-spectral-functional.md | match='researchers/Phonon-First/08_1997_Chamseddine_Connes_Spectral_Action.md'
[EDGE:cited_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/framework/Collabs/equation-build/lizzi-spectral-functional.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Collabs/equation-build/lizzi-spectral-functional.md | match='researchers/Lizzi/02_2010_Andrianov_Bosonic_Spectral_Action_Anomaly.md'
[EDGE:cited_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/framework/Collabs/equation-build/volovik-framing-emergent-spacetime.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Collabs/equation-build/volovik-framing-emergent-spacetime.md | match='researchers/Volovik/'
