## S92 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 14 (+ 18 in workshops/)
## Total edges (deduped): 84
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:92:session-92-w7-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w7-workingpaper.md | match='**Agent**: `mack-cosmic-bridge` (sole-writer per `feedback_mack-bridge-role.md` '
[EDGE:authored_by] gates:92:session-92-w7-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w7-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (PRIMARY; `van-den-dungen-bridge-theorist` ALTE'
[EDGE:authored_by] gates:92:session-92-w8-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w8-workingpaper.md | match='**Agent**: `gen-physicist` (workshop coordinator) — participants `volovik-superf'
[EDGE:authored_by] gates:92:session-92-w8-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w8-workingpaper.md | match='**Agent**: `mack-cosmic-bridge` (PRIMARY per `feedback_mack-bridge-role.md`; cos'
[EDGE:authored_by] gates:92:session-92-w8-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w8-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist` (PRIMARY per `session-92-conte'
[EDGE:authored_by] gates:92:session-92-w9-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w9-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (PRIMARY — helper extension; CCvS 2013 §3 exper'
[EDGE:authored_by] gates:92:session-92-w9-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w9-workingpaper.md | match='**Agent**: `mack-cosmic-bridge` (sole writer per `feedback_mack-bridge-role.md` '
[EDGE:authored_by] gates:92:session-92-w9-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w9-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` (PRIMARY — post-hoc analysis on '
[EDGE:authored_by] gates:92:session-92-w9-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w9-workingpaper.md | match='**Agent**: `gen-physicist` (post-hoc analysis on existing S91 W6-2 npz)'
[EDGE:authored_by] gates:92:session-92-w9-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w9-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist` (PRIMARY — original-authoring '
