name,empirical_class,sub_bucket,criterion_R,empirical_R,error_type,value,m_0_zeta,m_2_zeta,m_6_zeta
rho_B2_per_mode,RATIO,DK_RATIO,0,1,FN,14.023250234055,0.0713101444607708,14.023250234055,542304.76294557
E_B1,RATIO,DK_RATIO,0,1,FN,0.8191400026759529,1.22079253452794,0.8191400026759529,0.3687997992990748
E_B2_mean,RATIO,DK_RATIO,0,1,FN,0.845269087679269,1.183055212329547,0.845269087679269,0.431494171188527
E_B3_mean,RATIO,DK_RATIO,0,1,FN,0.9782238787713764,1.0222608767800412,0.9782238787713764,0.8957592455950956
c_Gold,RATIO,DK_RATIO,0,1,FN,0.915,1.0928961748633879,0.915,0.6413653160718751
c_Gold_over_c_fabric,RATIO,DK_RATIO,0,1,FN,0.00436,229.3577981651376,0.00436,1.5755509298176003e-12
omega_L1,RATIO,DK_RATIO,0,1,FN,0.138,7.246376811594202,0.138,5.004900316800002e-05
omega_L2,RATIO,DK_RATIO,0,1,FN,0.192,5.208333333333333,0.192,0.000260919263232
omega_H1,RATIO,DK_RATIO,0,1,FN,0.38,2.6315789473684212,0.38,0.0079235168
omega_H2,RATIO,DK_RATIO,0,1,FN,1.41,0.7092198581560284,1.41,5.573083670099998
omega_H3,RATIO,DK_RATIO,0,1,FN,11.465,0.08722197993894462,11.465,198093.5319152959
alpha_QM,RATIO,DK_RATIO,0,1,FN,-0.579,1.7271157167530227,0.579,0.06507179975889897
N_e_classical,RATIO,DK_RATIO,0,1,FN,0.1734,5.767012687427912,0.1734,0.00015676368569891424
J_12_over_J_23,RATIO,DK_RATIO,0,1,FN,19.52,0.05122950819672131,19.52,2833994.914935603
gamma_RP,RATIO,DK_RATIO,0,1,FN,0.0398,25.125628140703515,0.0398,9.986547231968002e-08
t_deph_over_t_transit,RATIO,DK_RATIO,0,1,FN,139729.0,7.156710489590565e-06,139729.0,5.326387452392189e+25
F_BCS_over_V_KK,RATIO,DK_RATIO,0,1,FN,0.0071,140.8450704225352,0.0071,1.8042293510000005e-11
IBO_ratio,RATIO,DK_RATIO,0,1,FN,1118.0,0.0008944543828264759,1118.0,1746662586457568.0
S2_HFB,RATIO,DK_RATIO,0,1,FN,-0.131,7.633587786259541,0.131,3.857948965100001e-05
a_scatter,RATIO,DK_RATIO,0,1,FN,-0.00158,632.9113924050632,0.00158,9.8465804768e-15
M_Bog_max,RATIO,DK_RATIO,0,1,FN,0.02273,43.994720633523976,0.02273,6.06732387965226e-09
AUDIT_SESSION_FLOOR,RATIO,PROVENANCE_META,0,1,FN,34.0,0.029411764705882353,34.0,45435424.0
v_ew,ABSOLUTE,PDG_OBS,0,1,FN,246.0,0.0040650406504065045,246.0,900897818976.0
m_H_obs,ABSOLUTE,PDG_OBS,0,1,FN,125.1,0.007993605115907274,125.1,30639843906.312504
m_t_pole,ABSOLUTE,PDG_OBS,0,1,FN,172.69,0.005790723261335341,172.69,153580454157.3242
m_b_pole,ABSOLUTE,PDG_OBS,0,1,FN,4.78,0.20920502092050208,4.78,2495.3960486368005
m_b_1S,ABSOLUTE,PDG_OBS,0,1,FN,4.18,0.23923444976076558,4.18,1276.0903041567997
m_mu,ABSOLUTE,PDG_OBS,0,1,FN,0.1056583745,9.464465119137339,0.1056583745,1.3167994152766278e-05
alpha_s_MZ_obs,RATIO,PDG_OBS,0,1,FN,0.118,8.474576271186441,0.118,2.2877577567999992e-05
g_star_SM,RATIO,PDG_OBS,0,1,FN,106.75,0.00936768149882904,106.75,13862431670.807617
g_star_BBN,RATIO,PDG_OBS,0,1,FN,10.75,0.09302325581395349,10.75,143562.9326171875
N_eff_SM,RATIO,PDG_OBS,0,1,FN,3.044,0.328515111695138,3.044,261.3504429463562
b1_SM,RATIO,PURE_MATH,0,1,FN,4.1,0.24390243902439027,4.1,1158.5620099999994
b2_SM,RATIO,PURE_MATH,0,1,FN,-3.1666666666666665,0.31578947368421056,3.1666666666666665,318.4283693415637
b3_SM,RATIO,PURE_MATH,0,1,FN,-7.0,0.14285714285714285,7.0,16807.0
w0_FW,RATIO,DK_RATIO,0,1,FN,-0.918,1.0893246187363834,0.918,0.6519486734815682
w0_LCDM,RATIO,PURE_MATH,0,1,FN,-1.0,1.0,1.0,1.0
planck_ns,RATIO,PLANCK_OBS,0,1,FN,0.9649,1.0363768266141569,0.9649,0.8363952004567131
planck_ns_err,RATIO,PLANCK_OBS,0,1,FN,0.0042,238.0952380952381,0.0042,1.3069123199999996e-12
planck_alpha_s,RATIO,PLANCK_OBS,0,1,FN,-0.0045,222.22222222222223,0.0045,1.8452812499999995e-12
planck_alpha_s_err,RATIO,PLANCK_OBS,0,1,FN,0.0067,149.2537313432836,0.0067,1.3501251070000003e-11
Q_Leggett,RATIO,DK_RATIO,0,1,FN,670000.0,1.4925373134328358e-06,670000.0,1.350125107e+29
f_0_sharp,RATIO,SLOT_DEPENDENT_RATIO,0,1,FN,1.0,1.0,1.0,1.0
f_2_default,RATIO,SLOT_DEPENDENT_RATIO,0,1,FN,2.34,0.4273504273504274,2.34,70.15833714239997
f_4_default,RATIO,SLOT_DEPENDENT_RATIO,0,1,FN,0.558,1.7921146953405016,0.558,0.05409672759676803
