# archive_script_import_edges.txt
# Generated by tools/harvest_archive_script_import_edges.py
# Scanned 2160 archive scripts; emitted 16320 unique edges.
# Edge format: [EDGE:depends_on] data_provenance:<script>.py -> constants:<NAME>  # archive-script uses <NAME>
#
[EDGE:depends_on] data_provenance:s33a_rge_gate.py -> constants:M_Z  # archive-script uses M_Z
[EDGE:depends_on] data_provenance:s33a_rge_gate.py -> constants:tau_dump  # archive-script uses tau_dump
[EDGE:depends_on] data_provenance:s33a_rge_gate_corrected.py -> constants:M_KK  # archive-script uses M_KK
[EDGE:depends_on] data_provenance:s33a_rge_gate_corrected.py -> constants:M_Z  # archive-script uses M_Z
[EDGE:depends_on] data_provenance:s33a_w3_kink_masses.py -> constants:phi_paasch  # archive-script uses phi_paasch
[EDGE:depends_on] data_provenance:s33a_w3_kink_masses_v1.py -> constants:phi_paasch  # archive-script uses phi_paasch
[EDGE:depends_on] data_provenance:s33w3_modulus_equation.py -> constants:m_tau  # archive-script uses m_tau
[EDGE:depends_on] data_provenance:s33w3_modulus_equation.py -> constants:tau_dump  # archive-script uses tau_dump
[EDGE:depends_on] data_provenance:s33w3_paasch_dump_point.py -> constants:phi_paasch  # archive-script uses phi_paasch
[EDGE:depends_on] data_provenance:s33w3_paasch_dump_point.py -> constants:tau_dump  # archive-script uses tau_dump
[EDGE:depends_on] data_provenance:s33w3_sp_dump_geometry.py -> constants:tau_dump  # archive-script uses tau_dump
[EDGE:depends_on] data_provenance:s33w3_wall_pmns.py -> constants:E_B1  # archive-script uses E_B1
[EDGE:depends_on] data_provenance:s34a_dphys_thouless.py -> constants:E_B1  # archive-script uses E_B1
[EDGE:depends_on] data_provenance:s34a_tesla_11pct.py -> constants:E_B1  # archive-script uses E_B1
[EDGE:depends_on] data_provenance:s34a_tesla_11pct.py -> constants:v_crit  # archive-script uses v_crit
[EDGE:depends_on] data_provenance:s35_ed_corrected_dos.py -> constants:E_cond  # archive-script uses E_cond
[EDGE:depends_on] data_provenance:s35_ed_corrected_dos.py -> constants:M_Z  # archive-script uses M_Z
[EDGE:depends_on] data_provenance:s35_impedance_wavematch.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s35_k7_thouless.py -> constants:E_B1  # archive-script uses E_B1
[EDGE:depends_on] data_provenance:s35_pmns_corrected.py -> constants:Delta_BCS  # archive-script uses Delta_BCS
[EDGE:depends_on] data_provenance:s35_pmns_corrected.py -> constants:E_B1  # archive-script uses E_B1
[EDGE:depends_on] data_provenance:s35_poschl_teller.py -> constants:phi_paasch  # archive-script uses phi_paasch
[EDGE:depends_on] data_provenance:s35_thouless_multiband.py -> constants:E_B1  # archive-script uses E_B1
[EDGE:depends_on] data_provenance:s35_vh_sensitivity.py -> constants:E_B1  # archive-script uses E_B1
[EDGE:depends_on] data_provenance:s35_vh_sensitivity.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s35a_beyond_mean_field.py -> constants:E_cond  # archive-script uses E_cond
[EDGE:depends_on] data_provenance:s35a_beyond_mean_field.py -> constants:M_Z  # archive-script uses M_Z
[EDGE:depends_on] data_provenance:s35a_kk_validation.py -> constants:E_B1  # archive-script uses E_B1
[EDGE:depends_on] data_provenance:s35a_mu_physical_basis.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s35a_vh_impedance_arbiter.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s36_bayesian_posterior.py -> constants:S_fold  # archive-script uses S_fold
[EDGE:depends_on] data_provenance:s36_bbn_lithium.py -> constants:T_BBN_GeV  # archive-script uses T_BBN_GeV
[EDGE:depends_on] data_provenance:s36_bdi_winding.py -> constants:E_B1  # archive-script uses E_B1
[EDGE:depends_on] data_provenance:s36_bdi_winding.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s36_cc_arithmetic.py -> constants:Lambda_obs_MP4  # archive-script uses Lambda_obs_MP4
[EDGE:depends_on] data_provenance:s36_cc_arithmetic.py -> constants:M_KK  # archive-script uses M_KK
[EDGE:depends_on] data_provenance:s36_cc_arithmetic.py -> constants:M_KK_gravity  # archive-script uses M_KK_gravity
[EDGE:depends_on] data_provenance:s36_cc_arithmetic.py -> constants:M_Pl_reduced  # archive-script uses M_Pl_reduced
[EDGE:depends_on] data_provenance:s36_cc_arithmetic.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s36_collectivity.py -> constants:E_B1  # archive-script uses E_B1
[EDGE:depends_on] data_provenance:s36_gcm_self_consistent.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s36_intersector_pmns.py -> constants:E_B1  # archive-script uses E_B1
[EDGE:depends_on] data_provenance:s36_intersector_pmns.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s36_mmax_authoritative.py -> constants:E_B1  # archive-script uses E_B1
[EDGE:depends_on] data_provenance:s36_multisector_ed.py -> constants:E_cond  # archive-script uses E_cond
[EDGE:depends_on] data_provenance:s36_multisector_ed.py -> constants:E_cond_ED_5mode  # archive-script uses E_cond_ED_5mode
[EDGE:depends_on] data_provenance:s36_multisector_ed.py -> constants:E_cond_ED_8mode  # archive-script uses E_cond_ED_8mode
